{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242600007R 242600007S,A,1,A 1,BAB A1,2,130,1,1446.0,,0,,"LINESTRING (10.134032 53.527117,10.134103 53.527161,10.134157 53.527203,10.134351 53.527360,10.134452 53.527489,10.134511 53.527578,10.134570 53.527716,10.134611 53.527843,10.134672 53.528015,10.134760 53.528261,10.134837 53.528401,10.134866 53.528443)",EPSG:4326
242600007R 242600007S,A,1,A 1,BAB A1,2,130,1,1446.0,,0,,"LINESTRING (10.134866 53.528443,10.134912 53.528510,10.135006 53.528631,10.135142 53.528788,10.135912 53.529533,10.136421 53.530032,10.137072 53.530684,10.138625 53.532275,10.138760 53.532425,10.138986 53.532692)",EPSG:4326
232500005R 232500005S,A,7,A 7,BAB A7,2,319,3,11.0,,0,,"LINESTRING (9.923138 53.634410,9.923106 53.634399,9.923072 53.634386,9.923035 53.634372)",EPSG:4326
242600012G 242600012H,A,1,A 1,BAB A1,2,611,6,737.0,,0,,"LINESTRING (10.100895 53.511001,10.100415 53.510864,10.100086 53.510778,10.099794 53.510698,10.099594 53.510640)",EPSG:4326
242600012G 242600012H,A,1,A 1,BAB A1,2,611,6,737.0,,0,,"LINESTRING (10.099594 53.510640,10.099465 53.510603,10.098914 53.510446,10.098435 53.510310)",EPSG:4326
242600012G 242600012H,A,1,A 1,BAB A1,2,612,6,737.0,,0,,"LINESTRING (10.098435 53.510310,10.097709 53.510104,10.096959 53.509897,10.096510 53.509776,10.096231 53.509702,10.095987 53.509637,10.095727 53.509578,10.095473 53.509528,10.095209 53.509486,10.094952 53.509448,10.094880 53.509438)",EPSG:4326
242600012G 242600012H,A,1,A 1,BAB A1,2,612,6,737.0,,0,,"LINESTRING (10.094880 53.509438,10.094681 53.509408,10.094423 53.509367,10.094215 53.509338,10.093796 53.509297,10.093664 53.509287,10.093537 53.509286,10.093428 53.509293,10.093318 53.509309,10.093202 53.509330,10.093097 53.509357,10.092995 53.509387,10.092910 53.509420,10.092806 53.509464,10.092696 53.509526,10.092580 53.509605,10.092457 53.509676,10.092311 53.509747,10.092206 53.509787,10.092117 53.509813)",EPSG:4326
242600012G 242600012H,A,1,A 1,BAB A1,2,612,6,737.0,,0,,"LINESTRING (10.092117 53.509813,10.092112 53.509815,10.091978 53.509845,10.091917 53.509857,10.091825 53.509869,10.091724 53.509874)",EPSG:4326
242600012G 242600012H,A,1,A 1,BAB A1,2,612,6,737.0,,0,,"LINESTRING (10.091724 53.509874,10.091722 53.509874,10.091625 53.509871,10.091538 53.509866,10.091266 53.509846,10.091163 53.509837,10.091106 53.509835,10.091036 53.509836,10.090978 53.509841,10.090918 53.509851,10.090872 53.509862,10.090801 53.509888,10.090696 53.509931)",EPSG:4326
242600007K 242600007L,A,1,A 1,BAB A1,2,130,1,719.0,,0,,"LINESTRING (10.127099 53.522519,10.127401 53.522699,10.127563 53.522805,10.128289 53.523298,10.129532 53.524176,10.129648 53.524243,10.129777 53.524309,10.129892 53.524348,10.130048 53.524388,10.130244 53.524425,10.130420 53.524452,10.130648 53.524466,10.130868 53.524472,10.131152 53.524473,10.131367 53.524487,10.131518 53.524499,10.131657 53.524525,10.131781 53.524557,10.131910 53.524603,10.132029 53.524650,10.132151 53.524713,10.132267 53.524785,10.132457 53.524922,10.133670 53.525860)",EPSG:4326
242600007K 242600007L,A,1,A 1,BAB A1,2,130,1,719.0,,0,,"LINESTRING (10.133670 53.525860,10.134128 53.526215)",EPSG:4326
242600007K 242600007L,A,1,A 1,BAB A1,2,130,1,719.0,,0,,"LINESTRING (10.134128 53.526215,10.134149 53.526231,10.134416 53.526421)",EPSG:4326
242600007K 242600007L,A,1,A 1,BAB A1,2,130,1,719.0,,0,,"LINESTRING (10.134416 53.526421,10.134423 53.526426,10.134594 53.526546,10.134666 53.526605,10.134721 53.526652,10.134747 53.526705)",EPSG:4326
252600103M 252600103N,A,25,A 25,BAB A25,2,610,6,455.0,,0,,"LINESTRING (10.113137 53.487463,10.113572 53.487292,10.114192 53.487082,10.115144 53.486776,10.116418 53.486391,10.116587 53.486326)",EPSG:4326
252700005M 252700005N,A,25,A 25,BAB A25,2,604,6,507.0,,0,,"LINESTRING (10.202100 53.474520,10.202624 53.474624,10.202843 53.474672)",EPSG:4326
252700005M 252700005N,A,25,A 25,BAB A25,2,604,6,507.0,,0,,"LINESTRING (10.202843 53.474672,10.203858 53.474893,10.204266 53.474977,10.205092 53.475147,10.205396 53.475201)",EPSG:4326
